feature,importance
DateOfBirth_day_sin,1320.1416998564678
DateOfBirth_month,1305.8958075288792
PolicyEndDate_is_month_end,922.3419121778661
PolicyDuration,917.808562764451
DateOfBirth_day_cos,873.9239787343286
total_claims,840.6756399526722
days_since_first_claim,823.3243431952992
DateOfBirth_dayofweek,774.1196270006266
average_ov,752.2226541528946
TotPaymentUSD_sum,713.2420008842331
PolicyEndDate_dayofweek_sin,687.3218862667119
days_since_last_claim,681.3467429412727
claim_amount_diff_std,672.4917339898897
DateOfBirth_dayofweek_cos,664.7206509284704
PolicyStartDate_month,645.5926227916939
PolicyStartDate_day_cos,561.6745620981746
PolicyStartDate_weekofyear_sin,534.9103632584844
days_since_prev_claim_max,532.0207565313343
days_since_prev_claim_std,524.3075698037345
service_group_diversity,524.087873193163
PolicyEndDate_day_sin,520.8320008840439
PolicyStartDate_quarter_cos,505.22863041718614
DateOfBirth_dayofweek_sin,496.41107472093
average_us,495.2058327573795
DateOfBirth_month_sin,494.0493100282672
PolicyEndDate_month,491.35990092971633
DateOfBirth_year,477.62667804614046
PolicyStartDate_is_month_start,476.0860146662463
claim_frequency,458.366496106527
TotPaymentUSD_max,452.6103398718525
uw_pct,445.7474611553994
PolicyEndDate_weekofyear_sin,444.91720057372385
Age,439.03010426054817
PolicyStartDate_is_weekend,438.44070564396674
DateOfBirth_quarter,437.73727576881464
PolicyStartDate_day_sin,427.4055666113964
service_type_diversity,427.068132206229
PolicyStartDate_day,420.7339234597478
DateOfBirth_weekofyear_sin,418.66094242161853
ServiceType_pct_count_Lab,412.9508016256334
TotPaymentUSD_min,411.9546749200411
days_since_prev_claim_mean,397.38545955094867
PolicyEndDate_is_weekend,378.84135057786125
claim_amount_pct_change_mean,359.9571569020242
PolicyStartDate_dayofweek,359.57997588329846
Questionnaire_respiratory,355.01047672549754
TotPaymentUSD_mean,354.2429268667274
PolicyStartDate_quarter,344.4129321605508
PolicyEndDate_is_month_start,338.3862645327534
claim_amount_pct_change_std,329.7725335290412
PolicyEndDate_weekofyear_cos,318.4695082108942
RiskScore,317.3962633227704
ServiceType_pct_count_Therapy,314.9420683830038
DateOfBirth_is_month_start,314.0706631579484
PolicyEndDate_day_cos,304.6949591839388
TotPaymentUSD_median,294.7148459548123
PolicyStartDate_is_month_end_sin,294.7040218397462
PolicyID,286.9264190769213
PolicyEndDate_quarter_sin,281.9356982580229
PolicyEndDate_day,278.65191197711033
